D,L,R,Clocks,ClocksPerAccess
1,384,3065,219280,7.1543230016
1,1152,9209,659882,7.1656205886
1,10240,81913,5877772,7.1756278002
1,15360,122873,8838432,7.1931441407
1,40960,327673,23607182,7.2044941146
1,81920,655353,47234066,7.2074234802
1,163840,1310713,94347778,7.1982026576
2,384,1533,109560,7.1467710372
2,1152,4605,339650,7.3756786102
2,10240,40957,2954008,7.2124618502
2,15360,61437,4426984,7.2057294464
2,40960,163837,11809948,7.2083522037
2,81920,327677,23639714,7.2143342377
2,163840,655357,47249452,7.2097272174
4,384,767,54816,7.1468057366
4,1152,2303,165704,7.1951367781
4,10240,20479,1486978,7.2609893061
4,15360,30719,2220084,7.2270711937
4,40960,81919,5937512,7.2480279300
4,81920,163839,11882076,7.2522879168
4,163840,327679,23703414,7.2337299613
8,384,384,27344,7.1208333333
8,1152,1152,83476,7.2461805556
8,10240,10240,742974,7.2556054687
8,15360,15360,1117040,7.2723958333
8,40960,40960,3023654,7.3819677734
8,81920,81920,5991026,7.3132641602
8,163840,163840,12037672,7.3472119141
32,384,384,27892,7.2635416667
32,1152,1152,83856,7.2791666667
32,10240,10240,800394,7.8163476562
32,15360,15360,1193764,7.7719010417
32,40960,40960,3400286,8.3014794922
32,81920,81920,8002724,9.7689501953
32,163840,163840,27918430,17.0400573730
1,384,3065,219372,7.1573246330
1,1152,9209,659842,7.1651862309
1,10240,81913,5878066,7.1759867176
1,15360,122873,8828774,7.1852839924
1,40960,327673,23583134,7.1971550906
1,81920,655353,47159806,7.1960921824
1,163840,1310713,94267282,7.1920612674
2,384,1533,109592,7.1488584475
2,1152,4605,330722,7.1818023887
2,10240,40957,2950154,7.2030519813
2,15360,61437,4423472,7.2000130215
2,40960,163837,11839150,7.2261760164
2,81920,327677,23682040,7.2272512261
2,163840,655357,47253866,7.2104007434
4,384,767,54748,7.1379400261
4,1152,2303,165700,7.1949630916
4,10240,20479,1482480,7.2390253430
4,15360,30719,2220604,7.2287639572
4,40960,81919,5937140,7.2475738229
