D,L,R,Clocks,ClocksPerAccess
1,384,3065,229200,7.4779771615
1,1152,9209,659880,7.1655988707
1,10240,81913,5898822,7.2013257969
1,15360,122873,8831828,7.1877694856
1,40960,327673,23609122,7.2050861682
1,81920,655353,47165972,7.1970330494
1,163840,1310713,94372584,7.2000952154
8,384,384,27418,7.1401041667
8,1152,1152,83606,7.2574652778
8,10240,10240,748816,7.3126562500
8,15360,15360,1119634,7.2892838542
8,40960,40960,3011118,7.3513623047
8,81920,81920,6031258,7.3623754883
8,163840,163840,11980438,7.3122790527
32,384,384,27818,7.2442708333
32,1152,1152,83794,7.2737847222
32,10240,10240,811928,7.9289843750
32,15360,15360,1193030,7.7671223958
32,40960,40960,3400484,8.3019628906
32,81920,81920,8972592,10.9528710937
32,163840,163840,27693374,16.9026940918
128,384,384,28198,7.3432291667
128,1152,1152,87334,7.5810763889
128,10240,10240,886788,8.6600390625
128,15360,15360,1277872,8.3194791667
128,40960,40960,6960608,16.9936718750
128,81920,81920,14960014,18.2617358398
128,163840,163840,30299376,18.4932714844
1024,384,384,35486,9.2411458333
1024,1152,1152,106242,9.2223958333
1024,10240,10240,2280480,22.2703125000
1024,15360,15360,3654832,23.7944791667
1024,40960,40960,9958698,24.3132275391
1024,81920,81920,19631298,23.9639868164
1024,163840,163840,40277326,24.5833288574
1,384,3065,219436,7.1594127243
1,1152,9209,659872,7.1655119991
1,10240,81913,5877136,7.1748513667
1,15360,122873,8824782,7.1820351094
1,40960,327673,23582494,7.1969597739
1,81920,655353,47191450,7.2009207252
1,163840,1310713,94323482,7.1963490100
8,384,384,27358,7.1244791667
8,1152,1152,83226,7.2244791667
8,10240,10240,741314,7.2393945313
8,15360,15360,1121728,7.3029166667
8,40960,40960,3013492,7.3571582031
8,81920,81920,6012154,7.3390551758
8,163840,163840,12016652,7.3343823242
32,384,384,27770,7.2317708333
32,1152,1152,83718,7.2671875000
32,10240,10240,848704,8.2881250000
32,15360,15360,1176654,7.6605078125
32,40960,40960,3347002,8.1713916016
32,81920,81920,8598838,10.4966284180
32,163840,163840,27854138,17.0008166504
128,384,384,28198,7.3432291667
128,1152,1152,89668,7.7836805556
128,10240,10240,883808,8.6309375000
128,15360,15360,1277546,8.3173567708
128,40960,40960,6848908,16.7209667969
128,81920,81920,14608430,17.8325561523
128,163840,163840,30437550,18.5776062012
1024,384,384,44870,11.6848958333
1024,1152,1152,108240,9.3958333333
1024,10240,10240,2375244,23.1957421875
1024,15360,15360,3578354,23.2965755208
1024,40960,40960,9953936,24.3016015625
1024,81920,81920,19617024,23.9465625000
1024,163840,163840,39846316,24.3202612305
1,384,3065,219368,7.1571941272
1,1152,9209,669602,7.2711695081
1,10240,81913,5889944,7.1904874684
1,15360,122873,8825742,7.1828164039
1,40960,327673,23559432,7.1899216597
1,81920,655353,47297554,7.2171110836
1,163840,1310713,94374332,7.2002285779
8,384,384,27322,7.1151041667
8,1152,1152,83296,7.2305555556
8,10240,10240,743438,7.2601367188
8,15360,15360,1121830,7.3035807292
8,40960,40960,3071234,7.4981298828
8,81920,81920,5994138,7.3170629883
8,163840,163840,12047292,7.3530834961
32,384,384,27816,7.2437500000
32,1152,1152,83846,7.2782986111
32,10240,10240,845436,8.2562109375
32,15360,15360,1184884,7.7140885417
32,40960,40960,3343614,8.1631201172
32,81920,81920,8603676,10.5025341797
32,163840,163840,27772702,16.9511120605
128,384,384,28398,7.3953125000
128,1152,1152,88536,7.6854166667
128,10240,10240,912612,8.9122265625
128,15360,15360,1240806,8.0781640625
128,40960,40960,6872130,16.7776611328
128,81920,81920,14944048,18.2422460938
128,163840,163840,30239940,18.4569946289
1024,384,384,39666,10.3296875000
1024,1152,1152,109502,9.5053819444
1024,10240,10240,2236854,21.8442773438
1024,15360,15360,3600540,23.4410156250
1024,40960,40960,9926358,24.2342724609
1024,81920,81920,19573782,23.8937768555
1024,163840,163840,39939070,24.3768737793
1,384,3065,219344,7.1564110930
1,1152,9209,669040,7.2650667825
1,10240,81913,5886280,7.1860144299
1,15360,122873,8826152,7.1831500818
1,40960,327673,23650810,7.2178086080
1,81920,655353,47207440,7.2033606316
1,163840,1310713,94336930,7.1973750165
8,384,384,27356,7.1239583333
8,1152,1152,83286,7.2296875000
8,10240,10240,743066,7.2565039062
8,15360,15360,1124546,7.3212630208
8,40960,40960,3012174,7.3539404297
8,81920,81920,6032794,7.3642504883
8,163840,163840,12009616,7.3300878906
32,384,384,27816,7.2437500000
32,1152,1152,83884,7.2815972222
32,10240,10240,790544,7.7201562500
32,15360,15360,1219450,7.9391276042
32,40960,40960,3376230,8.2427490234
32,81920,81920,8227808,10.0437109375
32,163840,163840,27842354,16.9936242676
128,384,384,28102,7.3182291667
128,1152,1152,89220,7.7447916667
128,10240,10240,893262,8.7232617188
128,15360,15360,1247872,8.1241666667
128,40960,40960,7120702,17.3845263672
128,81920,81920,15029718,18.3468237305
128,163840,163840,31049112,18.9508740234
1024,384,384,39020,10.1614583333
1024,1152,1152,110966,9.6324652778
1024,10240,10240,2407188,23.5076953125
1024,15360,15360,3647436,23.7463281250
1024,40960,40960,9954530,24.3030517578
1024,81920,81920,19709484,24.0594287109
1024,163840,163840,39730418,24.2495227051
1,384,3065,219214,7.1521696574
1,1152,9209,659918,7.1660115105
1,10240,81913,5881658,7.1803718579
1,15360,122873,8827660,7.1843773652
1,40960,327673,23639280,7.2142898560
