D,L,R,Clocks,ClocksPerAccess
1,384,3065,217526,7.0970962480
1,1152,9209,652614,7.0866977956
1,10240,81913,5817918,7.1025575916
1,15360,122873,8736032,7.1098060599
1,40960,327673,23327074,7.1190101107
1,81920,655353,46675978,7.1222650999
1,163840,1310713,93376636,7.1241100073
2,384,1533,108710,7.0913242009
2,1152,4605,326892,7.0986319218
2,10240,40957,2909538,7.1038845619
2,15360,61437,4376262,7.1231700767
2,40960,163837,11734720,7.1624358356
2,81920,327677,23399466,7.1410156953
2,163840,655357,46757028,7.1345889340
4,384,767,54780,7.1421121252
4,1152,2303,164134,7.1269648285
4,10240,20479,1467330,7.1650471214
4,15360,30719,2208498,7.1893551222
4,40960,81919,5869648,7.1651851219
4,81920,163839,11754230,7.1742564347
4,163840,327679,23491672,7.1691112339
8,384,384,27518,7.1661458333
8,1152,1152,83194,7.2217013889
8,10240,10240,736926,7.1965429688
8,15360,15360,1128712,7.3483854167
8,40960,40960,3030170,7.3978759766
8,81920,81920,6075320,7.4161621094
8,163840,163840,11985460,7.3153442383
32,384,384,27968,7.2833333333
32,1152,1152,83250,7.2265625000
32,10240,10240,857148,8.3705859375
32,15360,15360,1394850,9.0810546875
32,40960,40960,3797560,9.2713867187
32,81920,81920,8576346,10.4691723633
32,163840,163840,28130942,17.1697644043
1,384,3065,217326,7.0905709625
1,1152,9209,652580,7.0863285916
1,10240,81913,5813730,7.0974448500
1,15360,122873,8754350,7.1247141357
1,40960,327673,23348882,7.1256655263
1,81920,655353,46735998,7.1314235229
1,163840,1310713,93435966,7.1286365513
2,384,1533,108798,7.0970645793
2,1152,4605,326918,7.0991965255
2,10240,40957,2914056,7.1149156432
2,15360,61437,4386582,7.1399677719
2,40960,163837,11676912,7.1271519864
2,81920,327677,23373416,7.1330657934
2,163840,655357,46739234,7.1318737726
4,384,767,54618,7.1209908735
4,1152,2303,164336,7.1357359965
4,10240,20479,1464556,7.1515015382
4,15360,30719,2211888,7.2003906377
4,40960,81919,5906946,7.2107154628
4,81920,163839,11741346,7.1663926171
4,163840,327679,23503294,7.1726579976
8,384,384,27574,7.1807291667
8,1152,1152,83018,7.2064236111
8,10240,10240,737078,7.1980273437
8,15360,15360,1116168,7.2667187500
8,40960,40960,3091936,7.5486718750
8,81920,81920,6030954,7.3620043945
8,163840,163840,11975232,7.3091015625
32,384,384,27938,7.2755208333
32,1152,1152,83442,7.2432291667
32,10240,10240,927190,9.0545898437
32,15360,15360,1285792,8.3710416667
32,40960,40960,3385212,8.2646777344
32,81920,81920,8917872,10.8860742188
32,163840,163840,27945326,17.0564733887
1,384,3065,217184,7.0859380098
1,1152,9209,652620,7.0867629493
1,10240,81913,5819674,7.1047013295
1,15360,122873,8757768,7.1274958697
1,40960,327673,23368120,7.1315366234
1,81920,655353,46689672,7.1243546608
1,163840,1310713,93435486,7.1285999300
2,384,1533,108786,7.0962818004
2,1152,4605,326818,7.0970249729
2,10240,40957,2910190,7.1054764753
2,15360,61437,4374890,7.1209368947
2,40960,163837,11690158,7.1352368513
2,81920,327677,23377308,7.1342535485
2,163840,655357,46767866,7.1362426891
4,384,767,54772,7.1410691004
4,1152,2303,165718,7.1957446809
4,10240,20479,1463544,7.1465598906
4,15360,30719,2198652,7.1573032976
4,40960,81919,5888884,7.1886668538
4,81920,163839,11754296,7.1742967181
4,163840,327679,23513358,7.1757292960
8,384,384,27526,7.1682291667
8,1152,1152,83174,7.2199652778
8,10240,10240,742146,7.2475195313
8,15360,15360,1121218,7.2995963542
8,40960,40960,3023484,7.3815527344
8,81920,81920,5971416,7.2893261719
8,163840,163840,12036966,7.3467810059
32,384,384,27932,7.2739583333
32,1152,1152,83210,7.2230902778
32,10240,10240,877932,8.5735546875
32,15360,15360,1355546,8.8251692708
32,40960,40960,3773056,9.2115625000
32,81920,81920,8519408,10.3996679688
32,163840,163840,28117406,17.1615026855
1,384,3065,217138,7.0844371941
1,1152,9209,652568,7.0861982843
1,10240,81913,5817264,7.1017591835
1,15360,122873,8742024,7.1146826398
1,40960,327673,23322984,7.1177619151
1,81920,655353,46695058,7.1251765079
1,163840,1310713,93391450,7.1252402318
2,384,1533,108886,7.1028049576
2,1152,4605,334172,7.2567209555
2,10240,40957,2913640,7.1138999438
2,15360,61437,4378392,7.1266370428
2,40960,163837,11676394,7.1268358185
2,81920,327677,23372114,7.1326684509
2,163840,655357,46814938,7.1434253392
4,384,767,54764,7.1400260756
4,1152,2303,164200,7.1298306557
4,10240,20479,1457370,7.1164119342
4,15360,30719,2201118,7.1653309027
4,40960,81919,5943984,7.2559284171
4,81920,163839,11744052,7.1680442386
4,163840,327679,23499320,7.1714452254
8,384,384,27498,7.1609375000
8,1152,1152,83260,7.2274305556
8,10240,10240,736720,7.1945312500
8,15360,15360,1124032,7.3179166667
8,40960,40960,3051492,7.4499316406
8,81920,81920,5999450,7.3235473633
8,163840,163840,12059472,7.3605175781
32,384,384,27996,7.2906250000
32,1152,1152,83422,7.2414930556
32,10240,10240,862172,8.4196484375
32,15360,15360,1293442,8.4208463542
32,40960,40960,3740524,9.1321386719
32,81920,81920,8332896,10.1719921875
32,163840,163840,27954562,17.0621105957
1,384,3065,217164,7.0852854812
1,1152,9209,662602,7.1951569117
1,10240,81913,5815320,7.0993859339
1,15360,122873,8740874,7.1137467141
1,40960,327673,23326608,7.1188678957
1,81920,655353,46729424,7.1304203994
1,163840,1310713,93563026,7.1383305117
2,384,1533,108760,7.0945857795
2,1152,4605,335640,7.2885993485
2,10240,40957,2910494,7.1062187172
2,15360,61437,4372800,7.1175350359
2,40960,163837,11676888,7.1271373377
2,81920,327677,23383170,7.1360425053
2,163840,655357,46766978,7.1361071904
4,384,767,54610,7.1199478488
4,1152,2303,164212,7.1303517152
4,10240,20479,1463490,7.1462962059
4,15360,30719,2197826,7.1546144080
4,40960,81919,5889360,7.1892479156
4,81920,163839,11751696,7.1727097944
4,163840,327679,23486272,7.1674632796
