D,L,R,Clocks,ClocksPerAccess
1,384,3065,217168,7.0854159869
1,1152,9209,653326,7.0944293626
1,10240,81913,5820506,7.1057170413
1,15360,122873,8791728,7.1551341629
1,40960,327673,23343396,7.1239912962
1,81920,655353,46761686,7.1353432425
1,163840,1310713,93313886,7.1193225367
8,384,384,27562,7.1776041667
8,1152,1152,83032,7.2076388889
8,10240,10240,738974,7.2165429687
8,15360,15360,1115560,7.2627604167
8,40960,40960,3082090,7.5246337891
8,81920,81920,5999812,7.3239892578
8,163840,163840,11974442,7.3086193848
32,384,384,28204,7.3447916667
32,1152,1152,83188,7.2211805556
32,10240,10240,911298,8.8993945312
32,15360,15360,1264864,8.2347916667
32,40960,40960,3440568,8.3998242188
32,81920,81920,8521262,10.4019311523
32,163840,163840,28054188,17.1229174805
128,384,384,28436,7.4052083333
128,1152,1152,89414,7.7616319444
128,10240,10240,923840,9.0218750000
128,15360,15360,1259106,8.1973046875
128,40960,40960,7140628,17.4331738281
128,81920,81920,15374918,18.7682104492
128,163840,163840,31127078,18.9984606934
1024,384,384,79356,20.6656250000
1024,1152,1152,114446,9.9345486111
1024,10240,10240,2539126,24.7961523437
1024,15360,15360,3843946,25.0256901042
1024,40960,40960,10473824,25.5708593750
1024,81920,81920,20898386,25.5107250977
1024,163840,163840,42108322,25.7008801270
1,384,3065,217180,7.0858075041
1,1152,9209,662768,7.1969594961
1,10240,81913,5840578,7.1302210882
1,15360,122873,8739742,7.1128254376
1,40960,327673,23357164,7.1281930461
1,81920,655353,46722590,7.1293776026
1,163840,1310713,93400436,7.1259258129
8,384,384,27550,7.1744791667
8,1152,1152,83040,7.2083333333
8,10240,10240,736638,7.1937304688
8,15360,15360,1139470,7.4184244792
8,40960,40960,3061664,7.4747656250
8,81920,81920,5986630,7.3078979492
8,163840,163840,11998072,7.3230419922
32,384,384,28100,7.3177083333
32,1152,1152,83610,7.2578125000
32,10240,10240,852214,8.3224023437
32,15360,15360,1287686,8.3833723958
32,40960,40960,3734278,9.1168896484
32,81920,81920,8075296,9.8575390625
32,163840,163840,28040142,17.1143444824
128,384,384,28658,7.4630208333
128,1152,1152,104600,9.0798611111
128,10240,10240,907272,8.8600781250
128,15360,15360,1259832,8.2020312500
128,40960,40960,7420598,18.1166943359
128,81920,81920,15854910,19.3541381836
128,163840,163840,31911176,19.4770361328
1024,384,384,86146,22.4338541667
1024,1152,1152,112522,9.7675347222
1024,10240,10240,2425482,23.6863476562
1024,15360,15360,3795232,24.7085416667
1024,40960,40960,10485544,25.5994726563
1024,81920,81920,20829088,25.4261328125
1024,163840,163840,42115592,25.7053173828
1,384,3065,217324,7.0905057096
1,1152,9209,652776,7.0884569443
1,10240,81913,5815582,7.0997057854
1,15360,122873,8751542,7.1224288493
1,40960,327673,23427892,7.1497779799
1,81920,655353,46833762,7.1463412848
1,163840,1310713,93402848,7.1261098349
8,384,384,27504,7.1625000000
8,1152,1152,83148,7.2177083333
8,10240,10240,743482,7.2605664062
8,15360,15360,1128896,7.3495833333
8,40960,40960,3016212,7.3637988281
8,81920,81920,5999646,7.3237866211
8,163840,163840,11972246,7.3072790527
32,384,384,27922,7.2713541667
32,1152,1152,83310,7.2317708333
32,10240,10240,827100,8.0771484375
32,15360,15360,1267318,8.2507682292
32,40960,40960,3451100,8.4255371094
32,81920,81920,8205562,10.0165551758
32,163840,163840,27951854,17.0604577637
128,384,384,28460,7.4114583333
128,1152,1152,91800,7.9687500000
128,10240,10240,894142,8.7318554688
128,15360,15360,1281728,8.3445833333
128,40960,40960,7482312,18.2673632812
128,81920,81920,16057244,19.6011279297
128,163840,163840,31943892,19.4970043945
1024,384,384,36624,9.5375000000
1024,1152,1152,112720,9.7847222222
1024,10240,10240,2465002,24.0722851563
1024,15360,15360,3808872,24.7973437500
1024,40960,40960,10534536,25.7190820313
1024,81920,81920,20854688,25.4573828125
1024,163840,163840,42041120,25.6598632813
1,384,3065,245742,8.0176835237
1,1152,9209,652484,7.0852861331
1,10240,81913,5815768,7.0999328556
1,15360,122873,8741688,7.1144091867
1,40960,327673,23443532,7.1545510311
1,81920,655353,46699938,7.1259211448
1,163840,1310713,93434702,7.1285401152
8,384,384,27478,7.1557291667
8,1152,1152,83274,7.2286458333
8,10240,10240,742968,7.2555468750
8,15360,15360,1118878,7.2843619792
8,40960,40960,3021498,7.3767041016
8,81920,81920,6100018,7.4463110352
8,163840,163840,11985066,7.3151037598
32,384,384,27988,7.2885416667
32,1152,1152,83762,7.2710069444
32,10240,10240,858888,8.3875781250
32,15360,15360,1380386,8.9868880208
32,40960,40960,3388096,8.2717187500
32,81920,81920,8447744,10.3121875000
32,163840,163840,28120032,17.1631054688
128,384,384,28136,7.3270833333
128,1152,1152,89684,7.7850694444
128,10240,10240,956928,9.3450000000
128,15360,15360,1266638,8.2463411458
128,40960,40960,7231258,17.6544384766
128,81920,81920,15640164,19.0919970703
128,163840,163840,31348960,19.1338867187
1024,384,384,35368,9.2104166667
1024,1152,1152,117828,10.2281250000
