D,L,R,Clocks,ClocksPerAccess
1,384,6129,423016,6.9018763257
1,1152,18417,1259574,6.8391920508
1,10240,163825,11158172,6.8110312834
1,15360,245745,16723958,6.8054113003
1,40960,655345,44646884,6.8127297835
1,81920,1310705,89270988,6.8109138212
1,163840,2621425,178548808,6.8111354702
2,384,3065,207626,6.7740946166
2,1152,9209,626708,6.8053860354
2,10240,81913,5582250,6.8148523433
2,15360,122873,8372828,6.8142130492
2,40960,327673,22370448,6.8270647872
2,81920,655353,44749420,6.8282925385
2,163840,1310713,89438760,6.8236723066
4,384,1533,104316,6.8046966732
4,1152,4605,323532,7.0256677524
4,10240,40957,2796828,6.8286935078
4,15360,61437,4200342,6.8368279701
4,40960,163837,11238384,6.8594908354
4,81920,327677,22638710,6.9088492631
4,163840,655357,44863076,6.8455934704
8,384,767,62228,8.1131681877
8,1152,2303,158492,6.8819800261
8,10240,20479,1411918,6.8944675033
8,15360,30719,2120196,6.9019043589
8,40960,81919,5658040,6.9068714218
8,81920,163839,11318778,6.9084760039
8,163840,327679,22657896,6.9146622152
32,384,384,27064,7.0479166667
32,1152,1152,92850,8.0598958333
32,10240,10240,749590,7.3202148437
32,15360,15360,1369708,8.9173697917
32,40960,40960,3149060,7.6881347656
32,81920,81920,6355442,7.7581079102
32,163840,163840,16832806,10.2739294434
1,384,6129,415736,6.7830967531
1,1152,18417,1249810,6.7861758158
1,10240,163825,11161430,6.8130199908
1,15360,245745,16738144,6.8111839508
1,40960,655345,44645886,6.8125774973
1,81920,1310705,89254150,6.8096291690
1,163840,2621425,178470972,6.8081662455
2,384,3065,207740,6.7778140294
2,1152,9209,634958,6.8949723097
2,10240,81913,5593506,6.8285937519
2,15360,122873,8394718,6.8320281917
2,40960,327673,22355368,6.8224626381
2,81920,655353,44751660,6.8286343391
2,163840,1310713,89378616,6.8190836590
4,384,1533,104232,6.7992172211
4,1152,4605,313936,6.8172855592
4,10240,40957,2802166,6.8417266890
4,15360,61437,4206880,6.8474697658
4,40960,163837,11238686,6.8596751650
4,81920,327677,22439664,6.8481046885
4,163840,655357,44899158,6.8510991719
8,384,767,52390,6.8305084746
8,1152,2303,158442,6.8798089449
8,10240,20479,1410808,6.8890473168
8,15360,30719,2118990,6.8979784498
8,40960,81919,5674978,6.9275479437
8,81920,163839,11366396,6.9375399020
8,163840,327679,22660030,6.9153134623
32,384,384,27146,7.0692708333
32,1152,1152,82918,7.1977430556
32,10240,10240,782510,7.6416992188
32,15360,15360,1221848,7.9547395833
32,40960,40960,3833596,9.3593652344
32,81920,81920,6382372,7.7909814453
32,163840,163840,17014784,10.3850000000
1,384,6129,424426,6.9248817099
1,1152,18417,1259504,6.8388119672
1,10240,163825,11141756,6.8010108347
1,15360,245745,16733768,6.8094032432
1,40960,655345,44652846,6.8136395334
1,81920,1310705,89234780,6.8081513384
1,163840,2621425,178518986,6.8099978447
2,384,3065,207888,6.7826427406
2,1152,9209,626518,6.8033228364
2,10240,81913,5576512,6.8078473502
2,15360,122873,8383710,6.8230693480
2,40960,327673,22360588,6.8240556897
2,81920,655353,44728520,6.8251034175
2,163840,1310713,89427250,6.8227941586
4,384,1533,104128,6.7924331376
4,1152,4605,314452,6.8284907709
4,10240,40957,2803346,6.8446077594
4,15360,61437,4202162,6.8397903543
4,40960,163837,11237782,6.8591233970
