D,L,R,Clocks,ClocksPerAccess
1,384,6129,423290,6.9063468755
1,1152,18417,1270276,6.8973014063
1,10240,163825,11161226,6.8128954677
1,15360,245745,16740716,6.8122305642
1,40960,655345,44632686,6.8105632911
1,81920,1310705,89272390,6.8110207865
1,163840,2621425,178719190,6.8176350649
8,384,767,52192,6.8046936115
8,1152,2303,158252,6.8715588363
8,10240,20479,1414872,6.9088920357
8,15360,30719,2120394,6.9025489111
8,40960,81919,5706388,6.9658906969
8,81920,163839,11332990,6.9171503732
8,163840,327679,22694692,6.9258914975
32,384,384,27204,7.0843750000
32,1152,1152,82982,7.2032986111
32,10240,10240,758954,7.4116601562
32,15360,15360,1394806,9.0807682292
32,40960,40960,3742562,9.1371142578
32,81920,81920,7725364,9.4303759766
32,163840,163840,16818506,10.2652014160
128,384,384,28130,7.3255208333
128,1152,1152,83832,7.2770833333
128,10240,10240,828616,8.0919531250
128,15360,15360,1271164,8.2758072917
128,40960,40960,3557406,8.6850732422
128,81920,81920,15100074,18.4327075195
128,163840,163840,33471360,20.4292968750
1024,384,384,35446,9.2307291667
1024,1152,1152,107966,9.3720486111
1024,10240,10240,2227072,21.7487500000
1024,15360,15360,3509418,22.8477734375
1024,40960,40960,9890658,24.1471142578
1024,81920,81920,20049468,24.4744482422
1024,163840,163840,39775594,24.2770959473
1,384,6129,415740,6.7831620166
1,1152,18417,1249694,6.7855459630
1,10240,163825,11156766,6.8101730505
1,15360,245745,16732990,6.8090866549
1,40960,655345,44676202,6.8172034577
1,81920,1310705,89288220,6.8122285335
1,163840,2621425,178579876,6.8123206271
8,384,767,52168,6.8015645372
8,1152,2303,158424,6.8790273556
8,10240,20479,1411404,6.8919576151
8,15360,30719,2132014,6.9403756633
8,40960,81919,5678994,6.9324503473
8,81920,163839,11434584,6.9791588083
8,163840,327679,22651382,6.9126742940
32,384,384,27138,7.0671875000
32,1152,1152,82932,7.1989583333
32,10240,10240,769346,7.5131445313
32,15360,15360,1226846,7.9872786458
32,40960,40960,3924152,9.5804492187
32,81920,81920,7670866,9.3638500977
32,163840,163840,16756280,10.2272216797
128,384,384,27890,7.2630208333
128,1152,1152,84548,7.3392361111
128,10240,10240,841580,8.2185546875
128,15360,15360,1181064,7.6892187500
128,40960,40960,3558892,8.6887011719
128,81920,81920,15397188,18.7953955078
128,163840,163840,32796858,20.0176135254
1024,384,384,33870,8.8203125000
1024,1152,1152,103850,9.0147569444
1024,10240,10240,2274442,22.2113476562
1024,15360,15360,3551006,23.1185286458
1024,40960,40960,9880260,24.1217285156
1024,81920,81920,20171132,24.6229638672
1024,163840,163840,39546880,24.1375000000
1,384,6129,415974,6.7869799315
1,1152,18417,1250692,6.7909648694
1,10240,163825,11148894,6.8053679231
1,15360,245745,16737666,6.8109894403
1,40960,655345,44662016,6.8150387964
1,81920,1310705,89258990,6.8099984360
1,163840,2621425,178531506,6.8104754475
8,384,767,51984,6.7775749674
8,1152,2303,158542,6.8841511073
8,10240,20479,1413490,6.9021436594
8,15360,30719,2121644,6.9066180540
8,40960,81919,5709590,6.9697994360
8,81920,163839,11345598,6.9248457327
8,163840,327679,22693924,6.9256571218
32,384,384,27152,7.0708333333
32,1152,1152,83004,7.2052083333
32,10240,10240,761338,7.4349414063
32,15360,15360,1357320,8.8367187500
32,40960,40960,3811212,9.3047167969
32,81920,81920,7544158,9.2091772461
32,163840,163840,14999676,9.1550756836
128,384,384,28142,7.3286458333
128,1152,1152,83546,7.2522569444
128,10240,10240,897030,8.7600585937
128,15360,15360,1230436,8.0106510417
128,40960,40960,3683520,8.9929687500
128,81920,81920,15096574,18.4284350586
128,163840,163840,33185152,20.2546093750
1024,384,384,36444,9.4906250000
1024,1152,1152,104624,9.0819444444
1024,10240,10240,2267042,22.1390820312
1024,15360,15360,3520978,22.9230338542
1024,40960,40960,9837050,24.0162353516
1024,81920,81920,20059568,24.4867773437
1024,163840,163840,39828986,24.3096838379
1,384,6129,450942,7.3575134606
1,1152,18417,1257076,6.8256284954
1,10240,163825,11147264,6.8043729590
1,15360,245745,16751128,6.8164674764
1,40960,655345,44707114,6.8219203626
1,81920,1310705,89267002,6.8106097100
1,163840,2621425,178683344,6.8162676407
8,384,767,52134,6.7971316819
8,1152,2303,158498,6.8822405558
8,10240,20479,1414824,6.9086576493
8,15360,30719,2123282,6.9119502588
8,40960,81919,5689140,6.9448357524
8,81920,163839,11323826,6.9115570774
8,163840,327679,22825866,6.9659227476
32,384,384,27212,7.0864583333
32,1152,1152,83000,7.2048611111
32,10240,10240,748300,7.3076171875
32,15360,15360,1380762,8.9893359375
32,40960,40960,3266424,7.9746679688
32,81920,81920,7793870,9.5140014648
32,163840,163840,14677212,8.9582592773
128,384,384,28072,7.3104166667
128,1152,1152,84578,7.3418402778
128,10240,10240,855302,8.3525585938
128,15360,15360,1213094,7.8977473958
128,40960,40960,3595844,8.7789160156
128,81920,81920,14914716,18.2064404297
128,163840,163840,33163532,20.2414135742
1024,384,384,33818,8.8067708333
1024,1152,1152,119106,10.3390625000
1024,10240,10240,2233206,21.8086523438
1024,15360,15360,3506956,22.8317447917
1024,40960,40960,9816742,23.9666552734
1024,81920,81920,20131208,24.5742285156
1024,163840,163840,39723230,24.2451354980
1,384,6129,429694,7.0108337412
1,1152,18417,1257004,6.8252375523
1,10240,163825,11158086,6.8109787883
1,15360,245745,16748706,6.8154819020
1,40960,655345,44721794,6.8241604041
1,81920,1310705,89296594,6.8128674263
1,163840,2621425,178504768,6.8094554679
8,384,767,52178,6.8028683181
8,1152,2303,158244,6.8712114633
8,10240,20479,1413202,6.9007373407
8,15360,30719,2118514,6.8964289202
8,40960,81919,5708326,6.9682564484
8,81920,163839,11331762,6.9164008569
8,163840,327679,22689676,6.9243607311
32,384,384,27082,7.0526041667
32,1152,1152,82892,7.1954861111
32,10240,10240,783668,7.6530078125
32,15360,15360,1404846,9.1461328125
32,40960,40960,3336882,8.1466845703
32,81920,81920,6414186,7.8298168945
32,163840,163840,16985232,10.3669628906
128,384,384,27862,7.2557291667
128,1152,1152,89046,7.7296875000
128,10240,10240,801034,7.8225976563
128,15360,15360,1224386,7.9712630208
128,40960,40960,3636862,8.8790576172
128,81920,81920,15280480,18.6529296875
128,163840,163840,33595588,20.5051196289
1024,384,384,34004,8.8552083333
1024,1152,1152,113762,9.8751736111
1024,10240,10240,2253302,22.0049023438
1024,15360,15360,3452118,22.4747265625
1024,40960,40960,10100826,24.6602197266
1024,81920,81920,19886222,24.2751733398
1024,163840,163840,40186196,24.5277075195
1,384,6129,415142,6.7734051232
1,1152,18417,1258742,6.8346744855
1,10240,163825,11152240,6.8074103464
1,15360,245745,16738666,6.8113963662
1,40960,655345,44720026,6.8238906225
1,81920,1310705,89257160,6.8098588164
1,163840,2621425,178512270,6.8097416481
8,384,767,52050,6.7861799218
8,1152,2303,158626,6.8877985237
8,10240,20479,1414512,6.9071341374
8,15360,30719,2118542,6.8965200690
8,40960,81919,5680166,6.9338810288
8,81920,163839,11377778,6.9444869659
8,163840,327679,22675022,6.9198886715
32,384,384,27074,7.0505208333
32,1152,1152,82938,7.1994791667
32,10240,10240,775770,7.5758789062
32,15360,15360,1268680,8.2596354167
32,40960,40960,3301982,8.0614794922
32,81920,81920,7692776,9.3905957031
32,163840,163840,14817788,9.0440600586
128,384,384,28044,7.3031250000
128,1152,1152,89194,7.7425347222
128,10240,10240,866140,8.4583984375
128,15360,15360,1207548,7.8616406250
128,40960,40960,3658854,8.9327490234
128,81920,81920,15067916,18.3934521484
128,163840,163840,33193348,20.2596118164
1024,384,384,33274,8.6651041667
1024,1152,1152,108334,9.4039930556
1024,10240,10240,2268734,22.1556054688
1024,15360,15360,3532270,22.9965494792
1024,40960,40960,9865602,24.0859423828
1024,81920,81920,20120392,24.5610253906
1024,163840,163840,39727134,24.2475183105
1,384,6129,414984,6.7708272149
1,1152,18417,1262288,6.8539284357
1,10240,163825,11153758,6.8083369449
1,15360,245745,16739108,6.8115762274
1,40960,655345,44630936,6.8102962562
1,81920,1310705,89282992,6.8118296642
1,163840,2621425,178569176,6.8119124522
8,384,767,52174,6.8023468057
8,1152,2303,158594,6.8864090317
8,10240,20479,1408726,6.8788808047
8,15360,30719,2117398,6.8927959895
8,40960,81919,5673496,6.9257388396
8,81920,163839,11333396,6.9173981775
8,163840,327679,22693118,6.9254111493
32,384,384,27162,7.0734375000
32,1152,1152,82980,7.2031250000
32,10240,10240,754840,7.3714843750
32,15360,15360,1225952,7.9814583333
32,40960,40960,3805058,9.2896923828
32,81920,81920,7428990,9.0685913086
32,163840,163840,14841630,9.0586120605
128,384,384,27952,7.2791666667
128,1152,1152,84166,7.3060763889
128,10240,10240,850138,8.3021289062
128,15360,15360,1278806,8.3255598958
128,40960,40960,3526380,8.6093261719
128,81920,81920,15197244,18.5513232422
128,163840,163840,33130494,20.2212487793
1024,384,384,46384,12.0791666667
1024,1152,1152,109282,9.4862847222
1024,10240,10240,2286158,22.3257617188
1024,15360,15360,3566258,23.2178255208
1024,40960,40960,9845534,24.0369482422
1024,81920,81920,20114160,24.5534179688
1024,163840,163840,39552090,24.1406799316
1,384,6129,415540,6.7798988416
1,1152,18417,1251026,6.7927784113
1,10240,163825,11157486,6.8106125439
1,15360,245745,16742954,6.8131412643
1,40960,655345,44713050,6.8228261450
1,81920,1310705,89327882,6.8152545386
1,163840,2621425,178522548,6.8101337250
8,384,767,52028,6.7833116037
8,1152,2303,158312,6.8741641337
8,10240,20479,1413728,6.9033058255
8,15360,30719,2121048,6.9046778866
8,40960,81919,5681396,6.9353825120
8,81920,163839,11330038,6.9153486044
8,163840,327679,22773712,6.9500065613
32,384,384,27164,7.0739583333
32,1152,1152,82850,7.1918402778
32,10240,10240,760648,7.4282031250
32,15360,15360,1267126,8.2495182292
32,40960,40960,3809964,9.3016699219
32,81920,81920,7751476,9.4622509766
32,163840,163840,14368328,8.7697314453
128,384,384,28188,7.3406250000
128,1152,1152,84392,7.3256944444
128,10240,10240,886630,8.6584960937
128,15360,15360,1201716,7.8236718750
